problem_instance_file_name games120.col
cmd line 
solver version 
number_of_vertices 120
number_of_edges: 1276
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.0893245
is_within_time_limit 1
number_of_colors 9
1 4
2 3
3 2
4 4
5 7
6 4
7 1
8 8
9 6
10 4
11 5
12 3
13 3
14 2
15 5
16 2
17 2
18 3
19 1
20 1
21 8
22 7
23 2
24 5
25 3
26 5
27 4
28 5
29 5
30 1
31 5
32 3
33 3
34 1
35 8
36 5
37 4
38 1
39 6
40 7
41 8
42 9
43 6
44 1
45 5
46 6
47 7
48 6
49 1
50 7
51 2
52 3
53 6
54 6
55 6
56 6
57 6
58 3
59 1
60 1
61 3
62 5
63 8
64 3
65 3
66 2
67 4
68 1
69 5
70 4
71 5
72 3
73 4
74 8
75 7
76 2
77 4
78 8
79 1
80 6
81 3
82 4
83 9
84 1
85 2
86 7
87 7
88 2
89 3
90 8
91 5
92 2
93 2
94 3
95 6
96 6
97 5
98 2
99 5
100 1
101 4
102 7
103 6
104 3
105 3
106 4
107 2
108 7
109 4
110 1
111 3
112 2
113 5
114 2
115 1
116 2
117 4
118 5
119 1
120 2
