problem_instance_file_name huck.col
cmd line 
solver version 
number_of_vertices 74
number_of_edges: 602
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.0306623
is_within_time_limit 1
number_of_colors 11
1 5
2 5
3 2
4 2
5 8
6 9
7 2
8 8
9 4
10 6
11 11
12 8
13 10
14 7
15 2
16 2
17 2
18 5
19 9
20 8
21 7
22 6
23 3
24 2
25 4
26 1
27 7
28 1
29 7
30 4
31 6
32 3
33 1
34 5
35 2
36 2
37 1
38 1
39 4
40 6
41 4
42 3
43 6
44 2
45 3
46 7
47 7
48 3
49 3
50 9
51 2
52 3
53 5
54 2
55 1
56 8
57 3
58 1
59 2
60 6
61 1
62 6
63 1
64 6
65 3
66 2
67 9
68 10
69 7
70 1
71 1
72 2
73 5
74 1
