problem_instance_file_name jean.col
cmd line 
solver version 
number_of_vertices 80
number_of_edges: 508
time_limit_sec 600
number_of_worker_processes 2
number_of_cores_per_worker 4
wall_time_sec 0.0659571
is_within_time_limit 1
number_of_colors 10
37 1
72 2
15 3
28 3
57 4
3 2
9 4
34 1
66 5
7 6
19 7
48 2
68 8
38 9
79 10
59 2
44 5
14 2
58 6
55 7
35 8
4 3
6 5
33 1
50 9
5 4
63 3
40 4
47 8
73 5
69 6
29 4
27 7
25 8
77 5
16 1
22 2
20 3
39 5
17 6
10 7
26 1
43 2
46 4
64 4
2 3
75 4
76 1
30 4
18 1
42 1
8 1
60 3
11 3
78 3
23 1
54 1
31 2
74 1
45 2
1 1
70 2
67 2
80 1
65 1
62 2
61 2
56 2
53 2
52 1
51 1
41 1
36 1
32 1
24 1
13 1
12 1
71 1
49 1
21 1
