problem_instance_file_name jean.col
cmd line 
solver version 
number_of_vertices 80
number_of_edges: 508
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.0319423
is_within_time_limit 1
number_of_colors 10
1 1
2 3
3 2
4 3
5 4
6 5
7 1
8 1
9 4
10 3
11 1
12 1
13 1
14 2
15 3
16 3
17 6
18 2
19 8
20 5
21 1
22 2
23 1
24 1
25 3
26 1
27 5
28 3
29 4
30 4
31 2
32 1
33 1
34 6
35 2
36 1
37 1
38 5
39 7
40 6
41 1
42 3
43 2
44 5
45 2
46 4
47 5
48 1
49 1
50 5
51 1
52 1
53 2
54 1
55 6
56 2
57 4
58 7
59 2
60 3
61 2
62 2
63 4
64 4
65 1
66 7
67 2
68 10
69 7
70 2
71 1
72 2
73 8
74 1
75 4
76 1
77 5
78 3
79 9
80 1
