problem_instance_file_name miles500.col
cmd line 
solver version 
number_of_vertices 128
number_of_edges: 2340
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.16809
is_within_time_limit 1
number_of_colors 20
1 7
2 15
3 2
4 3
5 1
6 6
7 11
8 4
9 8
10 8
11 8
12 4
13 5
14 3
15 8
16 3
17 5
18 6
19 7
20 11
21 5
22 5
23 4
24 13
25 20
26 1
27 7
28 13
29 6
30 10
31 2
32 2
33 1
34 3
35 2
36 7
37 3
38 17
39 8
40 2
41 5
42 4
43 1
44 1
45 4
46 15
47 1
48 3
49 7
50 3
51 4
52 5
53 16
54 4
55 3
56 7
57 4
58 19
59 2
60 8
61 3
62 10
63 6
64 5
65 2
66 7
67 2
68 8
69 9
70 7
71 2
72 9
73 12
74 6
75 14
76 11
77 7
78 10
79 4
80 5
81 1
82 2
83 12
84 4
85 7
86 1
87 4
88 9
89 3
90 10
91 6
92 16
93 12
94 14
95 9
96 1
97 1
98 6
99 15
100 2
101 9
102 8
103 8
104 9
105 3
106 1
107 17
108 1
109 9
110 2
111 3
112 2
113 6
114 5
115 3
116 18
117 7
118 4
119 7
120 5
121 1
122 8
123 2
124 4
125 11
126 1
127 7
128 3
