problem_instance_file_name myciel6.col
cmd line 
solver version 
number_of_vertices 95
number_of_edges: 755
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.0743872
is_within_time_limit 1
number_of_colors 7
1 2
2 1
3 2
4 1
5 3
6 2
7 3
8 2
9 4
10 3
11 1
12 5
13 1
14 4
15 1
16 5
17 6
18 6
19 4
20 4
21 6
22 1
23 3
24 5
25 1
26 4
27 1
28 3
29 6
30 3
31 4
32 4
33 3
34 1
35 5
36 1
37 4
38 1
39 5
40 6
41 4
42 4
43 4
44 6
45 1
46 3
47 2
48 2
49 3
50 2
51 4
52 3
53 2
54 3
55 2
56 4
57 3
58 5
59 2
60 7
61 2
62 4
63 5
64 2
65 6
66 2
67 4
68 5
69 5
70 2
71 5
72 3
73 4
74 4
75 3
76 3
77 3
78 4
79 4
80 3
81 5
82 5
83 4
84 4
85 4
86 5
87 4
88 4
89 4
90 4
91 4
92 5
93 3
94 2
95 1
