problem_instance_file_name queen10_10.col
cmd line 
solver version 
number_of_vertices 100
number_of_edges: 2940
time_limit_sec 600
number_of_worker_processes 2
number_of_cores_per_worker 4
wall_time_sec 0.456634
is_within_time_limit 1
number_of_colors 12
56 7
46 8
45 6
55 2
47 2
57 9
54 1
34 9
64 5
65 9
66 6
67 3
35 5
36 4
37 11
44 11
38 6
33 8
53 10
48 7
43 3
24 3
28 1
27 8
26 9
78 12
23 2
58 8
77 7
76 10
75 8
74 4
63 7
68 2
73 6
25 7
79 1
49 4
84 2
83 1
72 9
69 11
62 8
52 6
82 4
59 5
86 3
85 11
12 10
13 12
14 6
15 1
16 11
17 4
18 5
19 7
22 5
29 12
88 9
87 5
32 7
39 3
42 12
89 8
91 9
100 1
99 10
98 11
97 6
96 2
95 4
94 7
93 5
80 5
92 3
51 11
81 10
90 7
20 8
2 11
3 9
4 8
5 12
6 5
7 1
8 3
9 2
10 10
11 3
71 2
21 6
30 11
31 1
40 2
41 5
50 9
1 4
60 3
61 12
70 4
