problem_instance_file_name queen9_9.col
cmd line 
solver version 
number_of_vertices 81
number_of_edges: 2112
time_limit_sec 10000
number_of_worker_processes 512
number_of_cores_per_worker 4
wall_time_sec 1.11582
is_within_time_limit 1
number_of_colors 10
1 1
2 7
3 5
4 2
5 9
6 3
7 10
8 4
9 8
10 8
11 3
12 6
13 4
14 5
15 2
16 7
17 1
18 9
19 9
20 4
21 10
22 8
23 1
24 6
25 5
26 2
27 3
28 5
29 2
30 1
31 9
32 3
33 7
34 4
35 6
36 10
37 6
38 10
39 3
40 5
41 2
42 1
43 9
44 8
45 7
46 4
47 5
48 9
49 6
50 7
51 8
52 2
53 3
54 1
55 7
56 1
57 4
58 3
59 10
60 9
61 6
62 5
63 2
64 10
65 9
66 8
67 1
68 6
69 5
70 3
71 7
72 4
73 3
74 6
75 2
76 7
77 8
78 4
79 1
80 10
81 5
