problem_instance_file_name graphs_instances/queen9_9.col
cmd line 
solver version 
number_of_vertices 81
number_of_edges: 2112
time_limit_sec 10000
number_of_worker_processes 1
number_of_cores_per_worker 4
wall_time_sec 230.295
is_within_time_limit 1
number_of_colors 10
1 8
2 2
3 6
4 7
5 10
6 3
7 4
8 1
9 9
10 9
11 10
12 1
13 4
14 8
15 6
16 5
17 3
18 2
19 4
20 3
21 9
22 5
23 1
24 2
25 8
26 6
27 10
28 5
29 8
30 2
31 3
32 6
33 10
34 1
35 4
36 7
37 1
38 6
39 10
40 8
41 4
42 7
43 2
44 5
45 3
46 10
47 9
48 4
49 2
50 5
51 1
52 3
53 7
54 6
55 2
56 7
57 5
58 10
59 3
60 4
61 6
62 9
63 8
64 3
65 1
66 8
67 6
68 9
69 5
70 7
71 2
72 4
73 6
74 4
75 7
76 1
77 2
78 8
79 9
80 10
81 5
