[Rank 0 | Thread 3] [Time 0.017757] [INITIALIZATION] Initial bounds: lb = 3, ub = 9
  [Rank 0 | Thread 3] [Time 0.0180317] [BRANCH] Processing node: lb = 3, ub = 9
  [Rank 0 | Thread 3] [Time 1.46319] [BRANCH] Branching on vertices: u = 40, v = 380
  [Rank 0 | Thread 3] [Time 1.46782] [Merge] depth 1, lb = 3, ub = 65535
  [Rank 0 | Thread 3] [Time 1.46786] [UPDATE] Updated best_ub: 9
    [Rank 0 | Thread 3] [Time 1.46792] [BRANCH] Processing node: lb = 3, ub = 10
    [Rank 0 | Thread 3] [Time 2.90437] [BRANCH] Branching on vertices: u = 190, v = 370
    [Rank 0 | Thread 3] [Time 2.91084] [UPDATE] Updated best_ub: 9
      [Rank 0 | Thread 3] [Time 2.91093] [BRANCH] Processing node: lb = 3, ub = 11
      [Rank 0 | Thread 3] [Time 4.26393] [BRANCH] Branching on vertices: u = 100, v = 190
      [Rank 0 | Thread 3] [Time 4.27454] [UPDATE] Updated best_ub: 9
        [Rank 0 | Thread 3] [Time 4.2747] [BRANCH] Processing node: lb = 5, ub = 10
        [Rank 0 | Thread 3] [Time 5.76506] [BRANCH] Branching on vertices: u = 100, v = 210
        [Rank 0 | Thread 3] [Time 5.77379] [UPDATE] Updated best_ub: 9
          [Rank 0 | Thread 3] [Time 5.77391] [BRANCH] Processing node: lb = 3, ub = 10
[Rank 0 | Thread 1] [Time 6.11576] [UPDATE] Gathered best_ub 9
          [Rank 0 | Thread 3] [Time 7.12163] [BRANCH] Branching on vertices: u = 100, v = 120
          [Rank 0 | Thread 3] [Time 7.1307] [UPDATE] Updated best_ub: 9
            [Rank 0 | Thread 3] [Time 7.1308] [BRANCH] Processing node: lb = 3, ub = 10
            [Rank 0 | Thread 3] [Time 8.39643] [BRANCH] Branching on vertices: u = 100, v = 300
            [Rank 0 | Thread 3] [Time 8.40481] [UPDATE] Updated best_ub: 9
              [Rank 0 | Thread 3] [Time 8.40493] [BRANCH] Processing node: lb = 5, ub = 10
              [Rank 0 | Thread 3] [Time 9.75898] [BRANCH] Branching on vertices: u = 100, v = 200
              [Rank 0 | Thread 3] [Time 9.76803] [UPDATE] Updated best_ub: 9
                [Rank 0 | Thread 3] [Time 9.76813] [BRANCH] Processing node: lb = 4, ub = 9
                [Rank 0 | Thread 3] [Time 11.1198] [BRANCH] Branching on vertices: u = 40, v = 100
                [Rank 0 | Thread 3] [Time 11.1267] [UPDATE] Updated best_ub: 9
                  [Rank 0 | Thread 3] [Time 11.1269] [BRANCH] Processing node: lb = 4, ub = 9
[Rank 0 | Thread 1] [Time 12.1263] [UPDATE] Gathered best_ub 9
                  [Rank 0 | Thread 3] [Time 12.6835] [BRANCH] Branching on vertices: u = 40, v = 325
                  [Rank 0 | Thread 3] [Time 12.6911] [UPDATE] Updated best_ub: 8
                    [Rank 0 | Thread 3] [Time 12.6912] [BRANCH] Processing node: lb = 5, ub = 9
                    [Rank 0 | Thread 3] [Time 13.9569] [BRANCH] Branching on vertices: u = 40, v = 145
                    [Rank 0 | Thread 3] [Time 13.9657] [UPDATE] Updated best_ub: 8
                      [Rank 0 | Thread 3] [Time 13.9658] [BRANCH] Processing node: lb = 5, ub = 10
                      [Rank 0 | Thread 3] [Time 15.3727] [BRANCH] Branching on vertices: u = 40, v = 110
                      [Rank 0 | Thread 3] [Time 15.3812] [UPDATE] Updated best_ub: 8
                        [Rank 0 | Thread 3] [Time 15.3813] [BRANCH] Processing node: lb = 4, ub = 9
                        [Rank 0 | Thread 3] [Time 16.7407] [BRANCH] Branching on vertices: u = 40, v = 55
                        [Rank 0 | Thread 3] [Time 16.7469] [UPDATE] Updated best_ub: 8
                          [Rank 0 | Thread 3] [Time 16.747] [BRANCH] Processing node: lb = 4, ub = 9
                          [Rank 0 | Thread 3] [Time 18.042] [BRANCH] Branching on vertices: u = 40, v = 115
                          [Rank 0 | Thread 3] [Time 18.0509] [UPDATE] Updated best_ub: 8
                            [Rank 0 | Thread 3] [Time 18.0511] [BRANCH] Processing node: lb = 4, ub = 9
[Rank 0 | Thread 1] [Time 18.1336] [UPDATE] Gathered best_ub 8
                            [Rank 0 | Thread 3] [Time 19.4663] [BRANCH] Branching on vertices: u = 40, v = 215
                            [Rank 0 | Thread 3] [Time 19.4743] [UPDATE] Updated best_ub: 8
                              [Rank 0 | Thread 3] [Time 19.4745] [BRANCH] Processing node: lb = 5, ub = 9
                              [Rank 0 | Thread 3] [Time 20.7194] [BRANCH] Branching on vertices: u = 40, v = 235
                              [Rank 0 | Thread 3] [Time 20.7259] [UPDATE] Updated best_ub: 8
                                [Rank 0 | Thread 3] [Time 20.726] [BRANCH] Processing node: lb = 4, ub = 9
                                [Rank 0 | Thread 3] [Time 22.0224] [BRANCH] Branching on vertices: u = 10, v = 40
                                [Rank 0 | Thread 3] [Time 22.029] [UPDATE] Updated best_ub: 8
                                  [Rank 0 | Thread 3] [Time 22.029] [BRANCH] Processing node: lb = 4, ub = 9
                                  [Rank 0 | Thread 3] [Time 23.412] [BRANCH] Branching on vertices: u = 10, v = 125
                                  [Rank 0 | Thread 3] [Time 23.4228] [UPDATE] Updated best_ub: 8
                                    [Rank 0 | Thread 3] [Time 23.4229] [BRANCH] Processing node: lb = 4, ub = 9
[Rank 0 | Thread 1] [Time 24.1423] [UPDATE] Gathered best_ub 8
                                    [Rank 0 | Thread 3] [Time 24.6969] [BRANCH] Branching on vertices: u = 10, v = 130
                                    [Rank 0 | Thread 3] [Time 24.706] [UPDATE] Updated best_ub: 8
                                      [Rank 0 | Thread 3] [Time 24.7062] [BRANCH] Processing node: lb = 4, ub = 10
                                      [Rank 0 | Thread 3] [Time 25.9815] [BRANCH] Branching on vertices: u = 10, v = 184
                                      [Rank 0 | Thread 3] [Time 25.99] [UPDATE] Updated best_ub: 8
                                        [Rank 0 | Thread 3] [Time 25.9901] [BRANCH] Processing node: lb = 4, ub = 9
                                        [Rank 0 | Thread 3] [Time 27.2214] [BRANCH] Branching on vertices: u = 10, v = 160
                                        [Rank 0 | Thread 3] [Time 27.2299] [UPDATE] Updated best_ub: 8
                                          [Rank 0 | Thread 3] [Time 27.23] [BRANCH] Processing node: lb = 5, ub = 8
                                          [Rank 0 | Thread 3] [Time 28.5933] [BRANCH] Branching on vertices: u = 10, v = 430
                                          [Rank 0 | Thread 3] [Time 28.6039] [UPDATE] Updated best_ub: 8
                                            [Rank 0 | Thread 3] [Time 28.6041] [BRANCH] Processing node: lb = 4, ub = 9
                                            [Rank 0 | Thread 3] [Time 29.8313] [BRANCH] Branching on vertices: u = 10, v = 424
                                            [Rank 0 | Thread 3] [Time 29.8399] [UPDATE] Updated best_ub: 8
                                              [Rank 0 | Thread 3] [Time 29.84] [BRANCH] Processing node: lb = 4, ub = 9
[Rank 0 | Thread 1] [Time 30.1487] [UPDATE] Gathered best_ub 8
                                              [Rank 0 | Thread 3] [Time 31.02] [BRANCH] Branching on vertices: u = 10, v = 60
                                              [Rank 0 | Thread 3] [Time 31.0282] [UPDATE] Updated best_ub: 8
                                                [Rank 0 | Thread 3] [Time 31.0284] [BRANCH] Processing node: lb = 6, ub = 8
                                                [Rank 0 | Thread 3] [Time 32.1815] [BRANCH] Branching on vertices: u = 10, v = 240
                                                [Rank 0 | Thread 3] [Time 32.1888] [UPDATE] Updated best_ub: 7
